Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Geographic Locations and Boundaries,1470953438,1471970538,Updated Treasure Island Addresses and Building Numbers,387,518,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Updated-Treasure-Island-Addresses-and-Building-Num/ghba-upwh,1471970532,626,626
Transportation,1453247021,1507763667,Aircraft Tail Numbers and Models at SFO,853,499,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Aircraft-Tail-Numbers-and-Models-at-SFO/u7dr-xm3v,1507763584,831,200
Transportation,1460155029,1518023753,Late Night Preferential Runway Use,834,495,"['sfo', 'runways', 'runway', 'airlines', 'noise', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Late-Night-Preferential-Runway-Use/42ye-cb9x,1518022203,751,83
City Infrastructure,1381276637,1522944459,DPW Maintained Roadway Structures,2450,488,"['stairs', 'stairway', 'retaining', 'wall', 'street', 'roadway', 'structure', 'information', 'system', 'rsis', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/DPW-Maintained-Roadway-Structures/x5tj-txci,1524928030,1664,24
City Management and Ethics,1490041922,1524959071,Dataset Profiles,796,481,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Dataset-Profiles/w6q6-i3uv,1517254945,405,1
City Management and Ethics,1332178517,1500670970,"Campaign Finance - Summary of Third Party Disclosure Forms Regarding San Francisco Candidates - November 8, 2011 Election",1170,479,"['campaign', 'finance', 'third-party', 'disclosure', 'mayor', '2011', 'election', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Summary-of-Third-Party-Disclosure/6xiy-xib3,1500670863,2232,2232
City Management and Ethics,1435341222,1514925133,Campaign Finance - List of Candidates Running for Office in November 2015 who have Accepted the Voluntary Expenditure Ceiling,842,476,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-List-of-Candidates-Running-for-Of/m2tk-75a5,1514925013,1038,1038
City Management and Ethics,1429548972,1522952463,FPPC 803 - Behested Payment Report,1443,473,"['fppc', '803', 'behested', 'payments', 'charitable', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/FPPC-803-Behested-Payment-Report/2nqb-h7k4,1522952448,1105,24
City Infrastructure,1348532202,1523977457,Right of Way Exception Codes,2374,473,"['exceptions', 'street', 'restrictions', 'permits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Right-of-Way-Exception-Codes/a8af-5fif,1524927796,2043,12
City Management and Ethics,1435338933,1514925164,"Campaign Finance - Status of Voluntary Expenditure Ceiling VECs in November 3, 2015 Election",903,463,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Status-of-Voluntary-Expenditure-C/t2mb-q3sb,1514925033,1038,1038
City Management and Ethics,1463595215,1524906683,Form 700 Schedule A1,550,461,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Schedule-A1/tzbk-2xg8,1518571365,711,1
City Management and Ethics,1337377401,1484088362,"Campaign Finance - Public Funds Disbursed - November 6, 2012 Election",1357,455,"['ethics', 'campaign', 'finance', 'public', 'funds', 'disbursed', '2012', 'november', 'election', 'candidates', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Public-Funds-Disbursed-November-6/7x5u-tf83,1484088324,2172,1965
Public Safety,1468787055,1468788933,Police Stations (2011),489,454,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Public-Safety/Police-Stations-2011-/rwdu-9wb2,1486590290,651,651
Housing and Buildings,1512587097,1512759394,2016 Housing Inventory,442,455,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/2016-Housing-Inventory/mudq-s8bt,1512759174,144,144
City Management and Ethics,1405362789,1524588412,Disclosure Report Developers of Major City Projects Filings,1399,440,"['major developers city projects non-profits affiliate', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Disclosure-Report-Developers-of-Major-City-Project/mqks-ty4r,1510954877,1385,163
Housing and Buildings,1465934321,1470175020,Mayor’s Office of Housing and Community Development Grants and Loans,514,437,"['housing', 'grants', 'loans', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Mayor-s-Office-of-Housing-and-Community-Developmen/ez9i-q28j,1470681367,684,684
Economy and Community,1479924961,1480435005,Regression data for Inclusionary Housing Simulation Model,229,428,"['inclusionary housing', 'regression model', 'statistics', 'probability', 'public', 'data', 'dataset']",https://data.sfgov.org/Economy-and-Community/Regression-data-for-Inclusionary-Housing-Simulatio/vcwn-f2xk,1480434920,522,517
City Management and Ethics,1374257139,1524884051,Campaign Consultants - Political Contributions,2178,424,"['ethics', 'campaign consultant', 'contributions', 'political', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Consultants-Political-Contributions/tv94-tvke,1499281214,1745,1
City Infrastructure,1484260187,1524843103,Parking Signs / Street Space Permit Photos,1347,419,"['permits', 'construction', 'buildings', 'sidewalk', 'sfmta', 'tow', 'verification', 'photos', 'street', 'space', 'parking', 'signs', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Parking-Signs-Street-Space-Permit-Photos/pigs-fac7,1524928215,472,2
City Infrastructure,1483120485,1524843100,Parking Signs / Street Space Permits,1621,885,"['permits', 'construction', 'buildings', 'sidewalk', 'sfmta', 'tow', 'verification', 'street', 'space', 'parking', 'signs', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/d/sftu-nd43,1524928194,485,2
City Management and Ethics,1463531282,1524906658,Form 700 Cover Page,571,416,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Cover-Page/ni6u-knhb,1518571554,712,1
Housing and Buildings,1434741977,1514924290,2011 Housing Inventory,1209,414,"['housing', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/2011-Housing-Inventory/mpcm-79w2,1514924275,1045,949
Culture and Recreation,1459469655,1472838699,SFRPD Activity Guide--Spring through Summer 2016,612,413,"['recreation', 'aquatics', 'cultural recreation', 'recreation class', 'recreation program', 'therapeutic recreation', 'inclusion', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/SFRPD-Activity-Guide-Spring-through-Summer-2016/e3kj-6yzw,1472838666,759,734
City Management and Ethics,1364576519,1521504356,Ethics Commission Enforcement Summaries,1406,413,"['ethics enforcement complaints sunshine', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Ethics-Commission-Enforcement-Summaries/yre9-mzkb,1521504164,1857,41
City Management and Ethics,1385403334,1500573581,Campaign Finance - Summary Of Third Party Disclosure Forms Regarding San Francisco Candidates - November 4 2014,1337,411,"['ethics', 'campaign', 'finance', 'third-party', 'disclosure', 'candidates', 'november', 'election', '2014', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Summary-Of-Third-Party-Disclosure/htai-xw5t,1500573508,1616,1154
City Management and Ethics,1337362487,1484087067,"Campaign Finance - Individual Expenditure Ceilings (IECs) - November 6, 2012 Election",1341,405,"['individual', 'expenditure', 'ceilings', 'iec', 'public', 'financing', 'campaign', 'finance', 'candidate', '2012', 'election', 'november', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Individual-Expenditure-Ceilings-I/85cd-6rtn,1484086982,2172,1997
Economy and Community,1468784303,1468788874,Colleges in San Francisco (2011),536,399,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Colleges-in-San-Francisco-2011-/8r3f-pc6a,1468786398,651,651
City Management and Ethics,1436813872,1502736372,Department Open Data Inventory and Plan Status,897,399,"['inventory', 'publishing plans', 'open data program', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Department-Open-Data-Inventory-and-Plan-Status/tzir-jbhj,1502736364,1021,258
Health and Social Services,1504640348,1520960686,Pit Stop Locations,3582,392,"['pit', 'stop', 'restroom', 'bathroom', 'toilet', 'dog', 'waste', 'needle', 'safety', 'safe', 'clean', 'public', 'free', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/Pit-Stop-Locations/2gny-9qcr,1524928415,236,236
Culture and Recreation,1458326399,1458697126,Park Evaluation Scores starting Fiscal Year 2015,500,386,"['evaluation', 'parks', 'rec and park', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Park-Evaluation-Scores-starting-Fiscal-Year-2015/r33y-seqv,1458696173,772,768
Energy and Environment,1498670711,1516394620,San Francisco Plant Finder Data,652,385,"['plants', 'plant', 'plantfinder', 'sf plant finder', 'planning', 'green connections', 'environment', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Energy-and-Environment/San-Francisco-Plant-Finder-Data/vmnk-skih,1516394524,305,305
Energy and Environment,1470338808,1516394451,San Francisco Plant Community Areas,1072,641,"['planning', 'plant', 'plantfinder', 'micorclimate', 'phytocoenosis', 'phytocenosis', 'plant community', 'gis', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/d/27u4-a5b3,1516394339,633,118
Geographic Locations and Boundaries,1387391401,1489607029,City College of San Francisco Facilities,1099,376,"['city college', 'community college board', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/City-College-of-San-Francisco-Facilities/5wzj-8s9b,1489606970,1593,1588
Economy and Community,1496177314,1499380684,Community Development Public Service Program Activities by Neighborhood,205,376,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Community-Development-Public-Service-Program-Activ/jy5g-rugu,1517965127,334,297
Culture and Recreation,1474069250,1524323588,Parklet Permits,1939,370,"['parklet', 'sidewalk', 'permit', 'right', 'of', 'way', 'open', 'space', 'narrow', 'parking', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Parklet-Permits/jczu-j2ku,1524928399,590,8
City Management and Ethics,1492530039,1519853807,Authorized Drone Uses,986,364,"['drones', 'uav', 'uas', 'coit', 'committee on information technology', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Authorized-Drone-Uses/5e3s-sj56,1521441011,376,150
City Management and Ethics,1335756004,1520535223,Campaign Finance - FPPC Form 460 - Schedule B2 - Loan Guarantors,2833,355,"['ethics', 'campaign', 'finance', 'loan', 'guarantors', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-B2-Loan-Gu/ec3y-6ty9,1524928141,2191,459
Housing and Buildings,1510946234,1520373985,SF Development Pipeline 2017 Q2,421,343,"['development', 'pipeline', 'housing', 'construction', 'planning', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2017-Q2/49cy-x5m5,1520370948,163,163
City Management and Ethics,1396028833,1524884604,Campaign Consultants and Employees,2157,338,"['campaign consultants', 'employees', 'registration', 're-registration', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Consultants-and-Employees/8n8d-ry79,1499281479,1493,1
City Management and Ethics,1363123963,1486754885,Campaign Finance / Lobbyist - Filers With Unpaid Late Filing Fees,918,329,"['campaign finance', 'fines', 'late fees', 'ethics', 'lobbyist', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Lobbyist-Filers-With-Unpaid-Late-/mwws-zd4b,1486754645,1874,443
City Management and Ethics,1495647686,1516757524,Municipal Transportation Agency Board Resolutions,215,323,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Municipal-Transportation-Agency-Board-Resolutions/v5uc-gana,1517332602,340,134
Housing and Buildings,1469814590,1514924549,2014 Housing Inventory,815,314,"['new housing construction', 'housing units', 'net new units', 'demolition', 'merger', 'conversion', 'alteration', 'housing stock', 'housing inventory', 'illegal units removed', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/2014-Housing-Inventory/b8d6-zthg,1514924513,639,639
City Management and Ethics,1463595065,1524906679,Form 700 Schedule C,639,313,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Schedule-C/fkhv-84jp,1518571412,711,1
City Management and Ethics,1429547300,1521223313,SFEC 3.216(d) Gifts of Travel Filings,1409,310,"['conflict of interest', 'gifts', 'travel', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/SFEC-3-216-d-Gifts-of-Travel-Filings/uqhk-vesf,1521222482,1105,44
City Management and Ethics,1496859665,1497371097,San Francisco City Survey Data 1996-2017,219,300,"['satisfaction survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/San-Francisco-City-Survey-Data-1996-2017/huch-6k5m,1497370457,326,326
City Infrastructure,1439231844,1442356316,2015 Project Appendix,537,298,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/2015-Project-Appendix/xpdk-pzjd,1458063352,993,993
City Management and Ethics,1447203373,1506724661,Airport (SFO) Contract Opportunities,861,297,"['bid', 'contract', 'project', 'design', 'build', 'services', 'construction', 'estimated cost', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Airport-SFO-Contract-Opportunities/hmh3-ff63,1506724630,901,212
City Management and Ethics,1490386784,1524959457,Field Profiles,175,290,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Field-Profiles/ekxv-883u,1517254901,401,1
City Management and Ethics,1496169316,1524903709,Filers With Unpaid Late Filing Fees,889,283,"['campaign finance', 'fines', 'late fees', 'ethics', 'lobbyist', 'sei', 'form 700', 'statement of economic interests', 'conflict of interest', 'unpaid', 'late', 'filing', 'fees', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Filers-With-Unpaid-Late-Filing-Fees/qbyp-dnir,1499716237,334,1
Culture and Recreation,1464047604,1511823515,Donations to Recreation and Parks Department,887,277,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Donations-to-Recreation-and-Parks-Department/n5gw-x78q,1511822441,706,153
Energy and Environment,1503707959,1523384807,"SFO Airport Monthly Utility Consumption for Natural Gas, Water, and Electricity",754,274,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Energy-and-Environment/SFO-Airport-Monthly-Utility-Consumption-for-Natura/gcjv-3mzf,1523384709,247,27
City Management and Ethics,1374527548,1524882838,Campaign Consultants - Appointment to Public Office,2072,271,"['campaign consultant', 'ethics', 'appointments', 'public office', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Consultants-Appointment-to-Public-Office/tgmn-chny,1499281287,1742,1
City Management and Ethics,1515203778,1515455724,Department Code List,238,268,"['city reference data', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Department-Code-List/j2hz-23ps,1515454078,114,111
Housing and Buildings,1520885280,1524164538,SF Development Pipeline 2017 Q4,66,267,"['planning', 'pipeline', 'housing', 'construction', 'permits', 'development', 'residential', 'commercial', 'building', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2017-Q4/tcek-yifh,1524164017,48,48
City Management and Ethics,1506974178,1519853806,Authorized Drone Flight Summary Reports,976,246,"['drones', 'uav', 'uas', 'coit', 'committee on information technology', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Authorized-Drone-Flight-Summary-Reports/q8qx-sb27,1521441010,209,88
Transportation,1463081079,1519259787,Airport (SFO) Monthly Utility Usage And Revenue,191,232,"['airport', 'sfo', 'utility consumption', 'utility usage', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Airport-SFO-Monthly-Utility-Usage-And-Revenue/jzyy-jx2t,1519259687,717,67
City Management and Ethics,1405965834,1524904795,Statement of Economic Interests (SEI) (Form 700) - Filing Officers and Department Heads,1856,231,"['statement of economic interests', 'sei', 'form 700', 'ethics', 'conflict of interest', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Statement-of-Economic-Interests-SEI-Form-700-Filin/kg3i-kae6,1517353887,1378,1
City Management and Ethics,1463595657,1524906682,Form 700 Schedule B,668,230,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Schedule-B/tcn4-z9dy,1518571436,711,1
City Management and Ethics,1463594905,1524906681,Form 700 Schedule D,695,227,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Schedule-D/kpf8-y8tj,1518571510,711,1
City Management and Ethics,1386618684,1433436009,"Campaign Finance - Public Funds Disbursed - November 4, 2014 Election",1347,223,"['ethics', 'campaign', 'finance', 'public', 'funds', 'disbursed', '2014', 'november', 'election', 'candidates', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Public-Funds-Disbursed-November-4/n5sf-qqmx,1458063314,1602,1255
Transportation,1453247367,1507763633,Aircraft Parking Location Inventory at SFO,888,222,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Aircraft-Parking-Location-Inventory-at-SFO/2ymc-znns,1507763589,831,200
Transportation,1460154223,1518023802,Air Carrier Runway Use,1039,222,"['airlines', 'air carrier', 'sfo', 'airport', 'runway', 'runways', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Air-Carrier-Runway-Use/hatm-btvp,1518022380,751,81
Culture and Recreation,1487100176,1517652023,Public Art (from 1% Art Program),1119,216,"['public art', 'artworks', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Public-Art-from-1-Art-Program-/cf6e-9e4j,1524906003,439,85
City Management and Ethics,1512581499,1524003086,Gifts Of Travel,78,215,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Gifts-Of-Travel/snqf-y894,1522868856,144,12
City Management and Ethics,1510248773,1524003086,Gifts of Travel - Accompanying Persons,65,72,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Gifts-of-Travel-Accompanying-Individuals/gqui-q3n5,1521845123,171,12
City Management and Ethics,1510247279,1522110212,Gifts of Travel - Contributors,56,81,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Gifts-of-Travel-Contributors/hpj3-vnwh,1522109945,171,61
City Management and Ethics,1463595169,1524906680,Form 700 Schedule A2,700,209,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Schedule-A2/j82c-uj4d,1518571483,711,1
City Management and Ethics,1510874464,1522859844,Certificate of Lobbyist Training Filings,349,200,"['lobbyist training', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Certificate-of-Lobbyist-Training-Filings/p7y3-jyh7,1522859839,164,25
Housing and Buildings,1465926996,1468447640,Mayor's Office of Housing and Community Development Bond Issuances,418,197,"['bond issuances', 'affordable housing', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Mayor-s-Office-of-Housing-and-Community-Developmen/2sdw-jdpk,1468446538,684,683
City Management and Ethics,1500572899,1524903774,Campaign Finance - Summary Of Third Party Disclosure Forms Regarding San Francisco Candidates,685,195,"['ethics', 'campaign', 'finance', 'third-party', 'disclosure', 'candidates', 'election', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Summary-Of-Third-Party-Disclosure/ani6-nqh6,1524179973,283,1
Transportation,1513200902,1524957601,[Testing] SFMTA - Enforced Temporary Tow Zones,462,191,"['temporary tow zones', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/-Testing-SFMTA-Enforced-Temporary-Tow-Zones/6r5h-j298,1518550890,137,1
Transportation,1460155405,1517875484,Nighttime Power Runups,779,186,"['aircraft', 'engine runs', 'airport', 'sfo', 'noise', 'complaints', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Nighttime-Power-Runups/aqb8-9r2r,1517875426,751,83
City Management and Ethics,1495756798,1524903777,Campaign Finance - Public Funds Disbursed,844,183,"['ethics', 'campaign finance', 'public', 'funds', 'disbursed', 'public financing', 'election', 'candidates', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Public-Funds-Disbursed/dbak-p2fq,1524252553,339,1
City Management and Ethics,1385418831,1442352574,"Campaign Finance - Individual Expenditure Ceilings  IECs  - November 4, 2014 Election",1066,183,"['individual', 'expenditure', 'ceilings', 'iec', 'public', 'financing', 'campaign', 'finance', 'candidate', '2014', 'election', 'november', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Individual-Expenditure-Ceilings-I/wv7d-caby,1458063278,1616,1278
City Management and Ethics,1370024621,1524903709,Post- Employment Restriction Waivers,1813,182,"['ethics', 'post-employment restriction waivers', 'conflict of interest', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Post-Employment-Restriction-Waivers/qwnt-35i6,1499283341,1794,1
City Management and Ethics,1462918359,1499283012,"Campaign Finance - Committee Name to Measure or Candidate Mapping for June 7, 2016 and November 8, 2016 Elections",449,180,"['campaign finance dashboard 2016', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Committee-Name-to-Measure-or-Cand/384x-35f2,1499282866,719,452
City Management and Ethics,1374512576,1524883892,Campaign Consultants - Employment of Local Officeholders and City Employees,1888,175,"['ethics', 'campaign consultant', 'employment', 'local officeholders', 'city employees', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Consultants-Employment-of-Local-Officehol/myxh-kx93,1499281596,1742,1
City Management and Ethics,1380665400,1442356339,Statement of Economic Interests (SEI) (Form 700) - Filers with unpaid late filing fees,954,173,"['statement of economic interests', 'sei', 'form 700', 'ethics', 'conflict of interest', 'unpaid', 'late', 'filing', 'fees', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Statement-of-Economic-Interests-SEI-Form-700-Filer/qrhk-8si2,1458063718,1671,1063
City Management and Ethics,1463594697,1524906658,Form 700 Schedule E,897,173,"['ethics', 'form 700', 'schedules', 'sei', 'statement of economic interests', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Form-700-Schedule-E/2ige-b5yn,1518571533,711,1
Transportation,1479840148,1514924579,2016 SFO Customer Survey,391,171,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2016-SFO-Customer-Survey/t3vr-buhp,1515205187,523,523
City Management and Ethics,1345050504,1442356344,Campaign Finance - List of Candidates Running for Office in November 2012 who have Accepted the Voluntary Expenditure Ceiling,1068,167,"['ethics', 'campaign', 'finance', 'voluntary expenditure ceiling', 'november 6 2012', 'election', 'candidates', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-List-of-Candidates-Running-for-Of/npcx-9w98,1458063326,2083,2077
City Management and Ethics,1385402955,1433435999,Campaign Finance - List of Candidates Running for Office in November 2014 who have Accepted the Voluntary Expenditure Ceiling,1048,158,"['ethics', 'campaign', 'finance', 'voluntary expenditure ceiling', 'november 4 2014', 'election', 'candidates', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-List-of-Candidates-Running-for-Of/56zn-mms6,1458063332,1616,1357
City Management and Ethics,1366739636,1524903784,Compensated Advocacy Ban Waivers,1571,158,"['ethics', 'compensated advocacy ban', 'waivers', 'conflict of interest', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Compensated-Advocacy-Ban-Waivers/fa66-656n,1499283196,1832,1
City Management and Ethics,1495732227,1524903789,Campaign Finance - Individual Expenditure Ceilings (IEC),791,157,"['campaign finance', 'public financing', 'candidate', 'dashboards', 'iec', 'individual expenditure ceilings', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Individual-Expenditure-Ceilings-I/9gib-7p8x,1522251081,339,1
City Management and Ethics,1345051314,1442356185,"Campaign Finance - Status of Voluntary Expenditure Ceiling (VECs) in November 6, 2012 Election",1176,154,"['voluntary', 'expenditure', 'ceiling', 'campaign', 'finance', 'ethics', 'vec', 'november 6', '2012', 'election', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Status-of-Voluntary-Expenditure-C/bmnx-cibx,1458063333,2083,2083
Transportation,1510855116,1515205235,2017 SFO Customer Survey,387,142,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2017-SFO-Customer-Survey/nnh5-5rwz,1515436357,164,164
Economy and Community,1496177853,1499380683,Community Development Public Service Program Activities by Supervisor District,188,140,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Community-Development-Public-Service-Program-Activ/3ggv-tzb3,1517965300,334,297
Economy and Community,1496178289,1517254871,"Community Development Projects by Agency, Program Area and Funding Source",377,140,"['mohcd', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Community-Development-Projects-by-Agency-Program-A/b3ix-g8t8,1518131360,334,334
City Management and Ethics,1435179394,1514925169,"Campaign Finance - Individual Expenditure Ceilings  IECs  - November 3, 2015 Election",864,138,"['campaign finance dashboard 2015', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Individual-Expenditure-Ceilings-I/cgah-zci4,1514925052,1040,908
City Management and Ethics,1495650808,1524903789,Annual Statement of Economic Interests (SEI) Form 700 - Non-Filers,785,131,"['statement of economic interests', 'sei', 'form 700', 'ethics', 'conflict of interest', 'non-filer', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Annual-Statement-of-Economic-Interests-SEI-Form-70/un6s-gxbd,1498859605,340,1
City Management and Ethics,1518213715,1524785500,"Campaign Finance - Committee Name to Measure or Candidate Mapping for June 5, 2018 and November 6, 2018 Elections",237,130,"['campaign finance dashboard 2018', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Committee-Name-to-Measure-or-Cand/gvbz-c8jc,1524785072,79,3
